Date,Open,High,Low,Close,Adj Close,Volume,company,Year,date,sentiment,knn_mean,knn_imputer,Close_pct_change,sentiment_imputed,sentiment_poly
2019-12-31,322.0,324.9200134277344,321.0899963378906,323.57000732421875,323.57000732421875,3713300,NFLX,2019,,,0.0,0.095975,,0.019282432389555782,
2020-01-02,326.1000061035156,329.9800109863281,324.7799987792969,329.8099975585937,329.8099975585937,4485800,NFLX,2020,,,0.0,0.376125,0.019282432389555782,0.019282432389555782,
2020-01-03,326.7799987792969,329.8599853515625,325.5299987792969,325.8999938964844,325.8999938964844,3806900,NFLX,2020,,,0.28595,0.10383333333333333,-0.011854766439556437,-0.011854766439556437,
2020-01-06,323.1199951171875,336.3599853515625,321.20001220703125,335.8299865722656,335.8299865722656,5663100,NFLX,2020,2020-01-06,0.0,0.0,0.7793,0.030460021610938935,0.0,0.0
2020-01-07,336.4700012207031,336.70001220703125,330.29998779296875,330.75,330.75,4703200,NFLX,2020,,,0.28595,0.06936666666666667,-0.01512550799593066,-0.01512550799593066,0.142975
2020-01-08,331.489990234375,342.70001220703125,331.04998779296875,339.260009765625,339.260009765625,7104500,NFLX,2020,,,0.28595,-0.06256666666666667,0.025723756241266313,0.025723756241266313,0.28595
2020-01-09,342.0,343.4200134277344,334.6099853515625,335.6600036621094,335.6600036621094,4709300,NFLX,2020,,,0.28595,0.1531,-0.010610949964322748,-0.010610949964322748,0.428925
2020-01-10,337.1300048828125,338.5,327.2699890136719,329.04998779296875,329.04998779296875,4718300,NFLX,2020,2020-01-10,0.5719,0.5719,0.426825,-0.01969004790190246,0.5719,0.5719
2020-01-13,331.79998779296875,340.8500061035156,331.510009765625,338.9200134277344,338.9200134277344,6290000,NFLX,2020,,,0.28595,0.02695,0.029986527707829985,0.029986527707829985,0.5205333333333333
2020-01-14,344.3999938964844,345.3800048828125,335.5199890136719,338.69000244140625,338.69000244140625,7199400,NFLX,2020,,,0.2614111111111111,0.27295,-0.0006786585090954734,-0.0006786585090954734,0.46916666666666657
2020-01-15,338.67999267578125,343.1700134277344,336.6000061035156,339.07000732421875,339.07000732421875,5158000,NFLX,2020,,,0.33684444444444445,0.2705285714285714,0.00112198388088563,0.00112198388088563,0.41779999999999995
2020-01-16,343.5,343.5599975585937,335.8500061035156,338.6199951171875,338.6199951171875,5016000,NFLX,2020,,,0.4142583333333333,-0.11315,-0.0013271947771445786,-0.0013271947771445786,0.36643333333333333
2020-01-17,341.0,341.57000732421875,337.3800048828125,339.6700134277344,339.6700134277344,6066500,NFLX,2020,,,0.4142583333333333,0.04700000000000001,0.0031008651593020966,0.0031008651593020966,0.3150666666666666
2020-01-21,340.0,341.0,332.5899963378906,338.1099853515625,338.1099853515625,14350300,NFLX,2020,,,0.4142583333333333,0.0,-0.0045927430910363,-0.0045927430910363,0.2637
2020-01-22,332.54998779296875,336.29998779296875,323.6000061035156,326.0,326.0,21730000,NFLX,2020,2020-01-22,0.21233333333333335,0.21233333333333335,0.15797566666666668,-0.035801396455411263,0.21233333333333335,0.21233333333333335
2020-01-23,326.0400085449219,349.8800048828125,325.010009765625,349.6000061035156,349.6000061035156,18200300,NFLX,2020,2020-01-23,0.2263,0.2263,0.1589,0.07226645864533662,0.2263,0.2263
2020-01-24,348.4599914550781,359.8500061035156,345.8800048828125,353.1600036621094,353.1600036621094,17939700,NFLX,2020,2020-01-24,0.6465,0.6465,0.0,0.010182707238540633,0.6465,0.6465
2020-01-27,345.95001220703125,351.8999938964844,341.0199890136719,342.8800048828125,342.8800048828125,7709500,NFLX,2020,,,0.18098333333333333,0.12506,-0.02910039699488549,-0.02910039699488549,0.44495999999999997
2020-01-28,345.8800048828125,352.3999938964844,342.7799987792969,348.5199890136719,348.5199890136719,6821600,NFLX,2020,,,0.14478666666666667,0.23723076923076925,0.016447373556423613,0.016447373556423613,0.24342
2020-01-29,349.0,349.3999938964844,338.54998779296875,343.1600036621094,343.1600036621094,7643500,NFLX,2020,,,0.22680555555555557,0.2241142857142857,-0.015378064315955875,-0.015378064315955875,0.041879999999999945
2020-01-30,341.1000061035156,348.20001220703125,339.25,347.739990234375,347.739990234375,5328100,NFLX,2020,,,0.22680555555555557,-0.33525,0.01334571220327164,0.01334571220327164,-0.15966000000000005
2020-01-31,347.3900146484375,347.3900146484375,340.9800109863281,345.0899963378906,345.0899963378906,5230000,NFLX,2020,2020-01-31,-0.3612,-0.3612,0.2057166666666667,-0.007620471253415155,-0.3612,-0.3612
2020-02-03,347.239990234375,359.6300048828125,346.2799987792969,358.0,358.0,6670600,NFLX,2020,,,0.23054999999999998,0.11373333333333334,0.03739309873606928,0.03739309873606928,-0.1806
2020-02-04,361.0,369.5700073242188,356.1000061035156,369.010009765625,369.010009765625,7161500,NFLX,2020,2020-02-04,0.0,0.0,0.0,0.030744524885470158,0.0,0.0
2020-02-05,375.1300048828125,375.25,362.2999877929688,369.6700134277344,369.6700134277344,6437000,NFLX,2020,2020-02-05,0.6369,0.6369,0.35795,0.0017885773850473006,0.6369,0.6369
2020-02-06,369.6000061035156,371.5499877929688,362.510009765625,366.9500122070313,366.9500122070313,3920400,NFLX,2020,,,0.068925,-0.07244999999999999,-0.007357784069502632,-0.007357784069502632,0.5307499999999999
2020-02-07,365.0400085449219,371.7999877929688,363.5700073242188,366.7699890136719,366.7699890136719,4385200,NFLX,2020,,,0.014679999999999999,0.033466666666666665,-0.0004905931950619731,-0.0004905931950619731,0.4246
2020-02-10,365.0,374.7999877929688,362.5199890136719,371.0700073242188,371.0700073242188,5294100,NFLX,2020,,,0.014679999999999999,-0.2986,0.011723481838520688,0.011723481838520688,0.31845
2020-02-11,373.75,378.1099853515625,369.7200012207031,373.6900024414063,373.6900024414063,4772900,NFLX,2020,,,0.042879999999999995,-0.3182,0.007060531781986451,0.007060531781986451,0.2123
2020-02-12,377.1799926757813,380.6199951171875,375.8800048828125,380.010009765625,380.010009765625,4624800,NFLX,2020,,,0.042879999999999995,0.3461666666666667,0.0169108212166295,0.0169108212166295,0.10615
2020-02-13,376.9599914550781,385.3699951171875,376.510009765625,381.3999938964844,381.3999938964844,4485400,NFLX,2020,2020-02-13,0.0,0.0,-0.03608999999999999,0.0036577403126798677,0.0,0.0
2020-02-14,381.4700012207031,385.1499938964844,379.4299926757813,380.3999938964844,380.3999938964844,3736300,NFLX,2020,2020-02-14,-0.2023,-0.2023,0.44,-0.0026219132787684125,-0.2023,-0.2023
2020-02-18,379.2999877929688,389.5400085449219,379.1900024414063,387.7799987792969,387.7799987792969,5173900,NFLX,2020,,,-0.14083333333333334,-0.1771,0.01939821039142888,0.01939821039142888,-0.21125
2020-02-19,388.1199951171875,392.9500122070313,384.8999938964844,386.1900024414063,386.1900024414063,4896400,NFLX,2020,2020-02-19,-0.2202,-0.2202,0.4676,-0.004100230627092592,-0.2202,-0.2202
2020-02-20,386.55999755859375,389.7000122070313,376.6799926757813,386.0,386.0,4079400,NFLX,2020,,,-0.05513999999999999,0.32603333333333334,-0.0004919920890616916,-0.0004919920890616916,-0.17616
2020-02-21,385.3299865722656,387.3200073242188,377.8999938964844,380.0700073242188,380.0700073242188,3930100,NFLX,2020,,,0.00708333333333334,0.025314285714285727,-0.015361466849093276,-0.015361466849093276,-0.13212000000000002
